Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.134321928024292	0	7.232143	3.798454	18.0	3.0	7.232142857142857	3.7984539685272494	405	405
3.361790895462036	1	10.525	7.3484263	41.0	3.0	10.525	7.348426702362895	421	826
3.48602294921875	2	13.5	10.30453	41.0	4.0	13.5	10.304529748287077	405	1231
3.6032638549804688	3	17.565218	7.3651714	33.0	6.0	17.565217391304348	7.365171192299026	404	1635
3.7244250774383545	4	24.882353	11.60569	62.0	7.0	24.88235294117647	11.605690049389194	423	2058
3.841062068939209	5	21.526316	10.449721	39.0	5.0	21.526315789473685	10.449721331225872	409	2467
3.9614570140838623	6	29.714285	10.450075	44.0	12.0	29.714285714285715	10.450075675929485	416	2883
4.089209079742432	7	36.81818	12.804957	58.0	20.0	36.81818181818182	12.80495771757019	405	3288
4.200799942016602	8	17.52174	5.5862374	31.0	9.0	17.52173913043478	5.586237476990964	403	3691
4.347961902618408	9	47.1	15.181897	82.0	31.0	47.1	15.181897114655994	471	4162
4.471618890762329	10	30.5	8.060042	45.0	15.0	30.5	8.060042537994804	427	4589
4.612493991851807	11	47.77778	20.943192	100.0	17.0	47.77777777777778	20.94319182814829	430	5019
4.758168935775757	12	67.0	26.73325	116.0	36.0	67.0	26.733250207684563	402	5421
4.912158966064453	13	85.8	21.82109	108.0	46.0	85.8	21.82109071517737	429	5850
5.102153062820435	14	97.8	42.04474	175.0	59.0	97.8	42.044738077433664	489	6339
5.278658866882324	15	113.75	22.708754	153.0	99.0	113.75	22.708753818736948	455	6794
5.431410074234009	16	85.4	22.738514	123.0	56.0	85.4	22.73851358378555	427	7221
5.594572067260742	17	105.25	44.0816	172.0	59.0	105.25	44.08160047003738	421	7642
5.763859033584595	18	90.2	39.071217	138.0	30.0	90.2	39.07121702737195	451	8093
5.989835023880005	19	126.5	45.080482	171.0	56.0	126.5	45.0804835821445	506	8599
6.2227559089660645	20	103.4	74.671555	234.0	38.0	103.4	74.67154745952436	517	9116
6.599794864654541	21	192.33333	146.30182	376.0	18.0	192.33333333333334	146.30181892998536	577	9693
6.840467929840088	22	151.66667	63.21568	241.0	104.0	151.66666666666666	63.215680192672316	455	10148
7.059088945388794	23	124.75	30.833221	161.0	80.0	124.75	30.833220720515072	499	10647
7.280021905899048	24	91.5	38.780365	169.0	56.0	91.5	38.7803644473162	549	11196
7.443705081939697	25	81.4	25.632792	109.0	49.0	81.4	25.632791498391274	407	11603
7.608214855194092	26	68.0	33.04542	106.0	7.0	68.0	33.04542328371661	408	12011
7.777432918548584	27	74.166664	15.784135	88.0	41.0	74.16666666666667	15.784134087395763	445	12456
7.937855005264282	28	64.14286	8.790069	83.0	55.0	64.14285714285714	8.790068607380093	449	12905
8.086071968078613	29	47.333332	14.854853	62.0	10.0	47.333333333333336	14.854853303438128	426	13331
8.249115943908691	30	72.0	6.9522176	82.0	64.0	72.0	6.95221787153807	432	13763
8.428421020507812	31	91.2	14.048488	110.0	76.0	91.2	14.048487463068755	456	14219
8.727266073226929	32	242.0	78.0	320.0	164.0	242.0	78.0	484	14703
9.03137493133545	33	226.5	135.5	362.0	91.0	226.5	135.5	453	15156
9.221364974975586	34	138.66667	11.897713	154.0	125.0	138.66666666666666	11.897712198383164	416	15572
9.403809070587158	35	135.33333	21.514853	157.0	106.0	135.33333333333334	21.51485275080657	406	15978
9.58945107460022	36	91.8	19.281078	121.0	67.0	91.8	19.28107880799205	459	16437
9.75382685661316	37	86.6	5.4626	95.0	81.0	86.6	5.4626001134990645	433	16870
9.89864706993103	38	67.0	5.859465	79.0	61.0	67.0	5.8594652770823155	402	17272
10.046107053756714	39	52.625	6.9270754	66.0	44.0	52.625	6.927075501248705	421	17693
10.184804916381836	40	45.0	15.121729	64.0	6.0	45.0	15.121728296285006	405	18098
10.335576057434082	41	50.0	5.6371784	59.0	43.0	50.0	5.637178175095921	450	18548
10.480669021606445	42	43.6	17.822456	62.0	6.0	43.6	17.822457742971366	436	18984
10.620373010635376	43	58.0	8.417668	72.0	47.0	58.0	8.41766849294642	406	19390
10.78345799446106	44	86.0	12.884099	100.0	67.0	86.0	12.884098726725126	430	19820
10.988854885101318	45	123.75	12.891373	143.0	112.0	123.75	12.891373084353738	495	20315
11.439779996871948	46	323.5	61.5	385.0	262.0	323.5	61.5	647	20962
11.935473918914795	47	525.0	0.0	525.0	525.0	525.0	0.0	525	21487
13.484302043914795	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	22487
15.036110877990723	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	23487
16.55166006088257	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	24487
18.053240060806274	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	25487
19.539170026779175	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	26487
21.047935009002686	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	27487
22.5333309173584	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	28487
24.065382957458496	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	29487
25.56787395477295	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	30487
27.062825918197632	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	31487
28.558661937713623	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	32487
28.960623025894165	59	158.66667	217.32361	466.0	3.0	158.66666666666666	217.32361941481548	476	32963
29.176681995391846	60	71.5	93.99778	217.0	4.0	71.5	93.99778366181478	429	33392
29.529054880142212	61	278.0	12.0	290.0	266.0	278.0	12.0	556	33948
30.127943992614746	62	348.0	191.0	539.0	157.0	348.0	191.0	696	34644
31.81343388557434	63	626.5	373.5	1000.0	253.0	626.5	373.5	1253	35897
33.29524207115173	64	993.0	0.0	993.0	993.0	993.0	0.0	993	36890
34.829789876937866	65	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	37890
35.82039499282837	66	769.0	0.0	769.0	769.0	769.0	0.0	769	38659
37.36191987991333	67	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	39659
38.88817501068115	68	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	40659
40.43252992630005	69	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	41659
41.949398040771484	70	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	42659
43.46662187576294	71	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	43659
44.983304023742676	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	44659
46.53435707092285	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	45659
48.05870294570923	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	46659
49.581522941589355	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	47659
51.07997798919678	76	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	48659
52.611944913864136	77	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	49659
54.09425187110901	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	50659
55.5056688785553	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	51659
56.96355605125427	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	52659
58.35515999794006	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	53659
59.73817586898804	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	54659
61.14888286590576	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	55659
62.53599286079407	84	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	56659
63.84771394729614	85	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	57659
65.17004489898682	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	58659
66.53961300849915	87	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	59659
67.87684893608093	88	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	60659
69.19316387176514	89	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	61659
70.49276089668274	90	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	62659
71.78806805610657	91	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	63659
73.09539294242859	92	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	64659
74.39187502861023	93	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	65659
75.69783091545105	94	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	66659
77.01980090141296	95	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	67659
78.3309428691864	96	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	68659
79.63959097862244	97	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	69659
80.92648386955261	98	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	70659
82.23242402076721	99	1000.0	0.0	1000.0	1000.0	1000.0	0.0	1000	71659
